movie_id,title,genres,year,model_ratings
3,Grumpier Old Men (1995),Comedy|Romance,75,3.261571168899536
4,Waiting to Exhale (1995),Comedy|Drama,75,3.358207941055298
5,Father of the Bride Part II (1995),Comedy,75,3.032064914703369
6,Heat (1995),Action|Crime|Thriller,75,3.923794984817505
7,Sabrina (1995),Comedy|Romance,75,3.3607616424560547
8,Tom and Huck (1995),Adventure|Children's,75,2.7734134197235107
9,Sudden Death (1995),Action,75,2.6472880840301514
12,Dracula: Dead and Loving It (1995),Comedy|Horror,75,2.718973398208618
13,Balto (1995),Animation|Children's,75,3.1137282848358154
15,Cutthroat Island (1995),Action|Adventure|Romance,75,2.857614278793335
17,Sense and Sensibility (1995),Drama|Romance,75,3.9423298835754395
18,Four Rooms (1995),Thriller,75,3.497446298599243
19,Ace Ventura: When Nature Calls (1995),Comedy,75,2.451036214828491
20,Money Train (1995),Action,75,2.766723871231079
21,Get Shorty (1995),Action|Comedy|Drama,75,3.4447944164276123
23,Assassins (1995),Thriller,75,3.0149552822113037
24,Powder (1995),Drama|Sci-Fi,75,2.963446855545044
25,Leaving Las Vegas (1995),Drama|Romance,75,3.4906187057495117
26,Othello (1995),Drama,75,3.6133697032928467
27,Now and Then (1995),Drama,75,3.0405681133270264
28,Persuasion (1995),Romance,75,3.9240448474884033
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,75,3.9850528240203857
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,75,3.6523659229278564
31,Dangerous Minds (1995),Drama,75,3.2259762287139893
33,Wings of Courage (1995),Adventure|Romance,75,3.3966994285583496
34,Babe (1995),Children's|Comedy|Drama,75,3.8999807834625244
35,Carrington (1995),Drama|Romance,75,3.3282511234283447
36,Dead Man Walking (1995),Drama,75,3.828991651535034
37,Across the Sea of Time (1995),Documentary,75,2.9974358081817627
38,It Takes Two (1995),Comedy,75,3.182314872741699
40,"Cry, the Beloved Country (1995)",Drama,75,3.891643762588501
41,Richard III (1995),Drama|War,75,3.7863643169403076
42,Dead Presidents (1995),Action|Crime|Drama,75,3.009805679321289
43,Restoration (1995),Drama,75,3.332749605178833
44,Mortal Kombat (1995),Action|Adventure,75,2.8229689598083496
46,How to Make an American Quilt (1995),Drama|Romance,75,2.9438138008117676
49,When Night Is Falling (1995),Drama|Romance,75,3.696718454360962
50,"Usual Suspects, The (1995)",Crime|Thriller,75,4.345073223114014
53,Lamerica (1994),Drama,74,3.7279791831970215
54,"Big Green, The (1995)",Children's|Comedy,75,3.1294453144073486
55,Georgia (1995),Drama,75,3.2676422595977783
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,75,3.128410577774048
57,Home for the Holidays (1995),Drama,75,3.501344919204712
58,"Postino, Il (The Postman) (1994)",Drama|Romance,74,4.005594730377197
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,75,3.2431509494781494
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,75,3.0226328372955322
61,Eye for an Eye (1996),Drama|Thriller,76,3.23026967048645
62,Mr. Holland's Opus (1995),Drama,75,3.3479340076446533
