movie_id,title,genres,year
1,Toy Story (1995),Animation|Children's|Comedy,75
2,Jumanji (1995),Adventure|Children's|Fantasy,75
3,Grumpier Old Men (1995),Comedy|Romance,75
4,Waiting to Exhale (1995),Comedy|Drama,75
5,Father of the Bride Part II (1995),Comedy,75
6,Heat (1995),Action|Crime|Thriller,75
7,Sabrina (1995),Comedy|Romance,75
8,Tom and Huck (1995),Adventure|Children's,75
9,Sudden Death (1995),Action,75
10,GoldenEye (1995),Action|Adventure|Thriller,75
11,"American President, The (1995)",Comedy|Drama|Romance,75
12,Dracula: Dead and Loving It (1995),Comedy|Horror,75
13,Balto (1995),Animation|Children's,75
14,Nixon (1995),Drama,75
15,Cutthroat Island (1995),Action|Adventure|Romance,75
16,Casino (1995),Drama|Thriller,75
17,Sense and Sensibility (1995),Drama|Romance,75
18,Four Rooms (1995),Thriller,75
19,Ace Ventura: When Nature Calls (1995),Comedy,75
20,Money Train (1995),Action,75
21,Get Shorty (1995),Action|Comedy|Drama,75
22,Copycat (1995),Crime|Drama|Thriller,75
23,Assassins (1995),Thriller,75
24,Powder (1995),Drama|Sci-Fi,75
25,Leaving Las Vegas (1995),Drama|Romance,75
26,Othello (1995),Drama,75
27,Now and Then (1995),Drama,75
28,Persuasion (1995),Romance,75
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,75
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,75
31,Dangerous Minds (1995),Drama,75
32,Twelve Monkeys (1995),Drama|Sci-Fi,75
33,Wings of Courage (1995),Adventure|Romance,75
34,Babe (1995),Children's|Comedy|Drama,75
35,Carrington (1995),Drama|Romance,75
36,Dead Man Walking (1995),Drama,75
37,Across the Sea of Time (1995),Documentary,75
38,It Takes Two (1995),Comedy,75
39,Clueless (1995),Comedy|Romance,75
40,"Cry, the Beloved Country (1995)",Drama,75
41,Richard III (1995),Drama|War,75
42,Dead Presidents (1995),Action|Crime|Drama,75
43,Restoration (1995),Drama,75
44,Mortal Kombat (1995),Action|Adventure,75
45,To Die For (1995),Comedy|Drama,75
46,How to Make an American Quilt (1995),Drama|Romance,75
47,Seven (Se7en) (1995),Crime|Thriller,75
48,Pocahontas (1995),Animation|Children's|Musical|Romance,75
49,When Night Is Falling (1995),Drama|Romance,75
50,"Usual Suspects, The (1995)",Crime|Thriller,75
51,Guardian Angel (1994),Action|Drama|Thriller,74
52,Mighty Aphrodite (1995),Comedy,75
53,Lamerica (1994),Drama,74
54,"Big Green, The (1995)",Children's|Comedy,75
55,Georgia (1995),Drama,75
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,75
57,Home for the Holidays (1995),Drama,75
58,"Postino, Il (The Postman) (1994)",Drama|Romance,74
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,75
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,75
61,Eye for an Eye (1996),Drama|Thriller,76
62,Mr. Holland's Opus (1995),Drama,75
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,76
64,Two if by Sea (1996),Comedy|Romance,76
65,Bio-Dome (1996),Comedy,76
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,76
67,Two Bits (1995),Drama,75
68,French Twist (Gazon maudit) (1995),Comedy|Romance,75
69,Friday (1995),Comedy,75
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,76
71,Fair Game (1995),Action,75
72,Kicking and Screaming (1995),Comedy|Drama,75
73,"Misérables, Les (1995)",Drama|Musical,75
74,Bed of Roses (1996),Drama|Romance,76
75,Big Bully (1996),Comedy|Drama,76
76,Screamers (1995),Sci-Fi|Thriller,75
77,Nico Icon (1995),Documentary,75
78,"Crossing Guard, The (1995)",Drama,75
79,"Juror, The (1996)",Drama|Thriller,76
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,75
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,75
82,Antonia's Line (Antonia) (1995),Drama,75
83,Once Upon a Time... When We Were Colored (1995),Drama,75
84,Last Summer in the Hamptons (1995),Comedy|Drama,75
85,Angels and Insects (1995),Drama|Romance,75
86,White Squall (1996),Adventure|Drama,76
87,Dunston Checks In (1996),Children's|Comedy,76
88,Black Sheep (1996),Comedy,76
89,Nick of Time (1995),Action|Thriller,75
90,"Journey of August King, The (1995)",Drama,75
92,Mary Reilly (1996),Drama|Thriller,76
93,Vampire in Brooklyn (1995),Comedy|Romance,75
94,Beautiful Girls (1996),Drama,76
95,Broken Arrow (1996),Action|Thriller,76
96,In the Bleak Midwinter (1995),Comedy,75
97,"Hate (Haine, La) (1995)",Drama,75
98,Shopping (1994),Action|Thriller,74
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,75
100,City Hall (1996),Drama|Thriller,76
101,Bottle Rocket (1996),Comedy,76
102,Mr. Wrong (1996),Comedy,76
103,Unforgettable (1996),Thriller,76
104,Happy Gilmore (1996),Comedy,76
105,"Bridges of Madison County, The (1995)",Drama|Romance,75
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,74
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,76
108,Catwalk (1995),Documentary,75
109,Headless Body in Topless Bar (1995),Comedy,75
110,Braveheart (1995),Action|Drama|War,75
111,Taxi Driver (1976),Drama|Thriller,56
112,Rumble in the Bronx (1995),Action|Adventure|Crime,75
113,Before and After (1996),Drama|Mystery,76
114,Margaret's Museum (1995),Drama,75
115,Happiness Is in the Field (1995),Comedy,75
116,Anne Frank Remembered (1995),Documentary,75
117,"Young Poisoner's Handbook, The (1995)",Crime,75
118,If Lucy Fell (1996),Comedy|Romance,76
119,"Steal Big, Steal Little (1995)",Comedy,75
120,Race the Sun (1996),Drama,76
121,"Boys of St. Vincent, The (1993)",Drama,73
122,Boomerang (1992),Comedy|Romance,72
123,Chungking Express (1994),Drama|Mystery|Romance,74
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,75
125,Flirting With Disaster (1996),Comedy,76
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,74
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,74
128,Jupiter's Wife (1994),Documentary,74
129,Pie in the Sky (1995),Comedy|Romance,75
130,Angela (1995),Drama,75
131,Frankie Starlight (1995),Drama|Romance,75
132,Jade (1995),Thriller,75
133,Nueba Yol (1995),Comedy|Drama,75
134,Sonic Outlaws (1995),Documentary,75
135,Down Periscope (1996),Comedy,76
136,From the Journals of Jean Seberg (1995),Documentary,75
137,Man of the Year (1995),Documentary,75
138,"Neon Bible, The (1995)",Drama,75
139,Target (1995),Action|Drama,75
140,Up Close and Personal (1996),Drama|Romance,76
141,"Birdcage, The (1996)",Comedy,76
142,Shadows (Cienie) (1988),Drama,68
143,Gospa (1995),Drama,75
144,"Brothers McMullen, The (1995)",Comedy,75
145,Bad Boys (1995),Action,75
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,75
147,"Basketball Diaries, The (1995)",Drama,75
148,"Awfully Big Adventure, An (1995)",Drama,75
149,Amateur (1994),Crime|Drama|Thriller,74
150,Apollo 13 (1995),Drama,75
151,Rob Roy (1995),Drama|Romance|War,75
152,"Addiction, The (1995)",Horror,75
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,75
154,Belle de jour (1967),Drama,47
155,Beyond Rangoon (1995),Drama|War,75
156,Blue in the Face (1995),Comedy,75
157,Canadian Bacon (1994),Comedy|War,74
158,Casper (1995),Adventure|Children's,75
159,Clockers (1995),Drama,75
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,75
161,Crimson Tide (1995),Drama|Thriller|War,75
162,Crumb (1994),Documentary,74
163,Desperado (1995),Action|Romance|Thriller,75
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,75
165,Die Hard: With a Vengeance (1995),Action|Thriller,75
166,"Doom Generation, The (1995)",Comedy|Drama,75
167,Feast of July (1995),Drama,75
168,First Knight (1995),Action|Adventure|Drama|Romance,75
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,75
170,Hackers (1995),Action|Crime|Thriller,75
171,Jeffrey (1995),Comedy,75
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,75
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,75
174,Jury Duty (1995),Comedy,75
175,Kids (1995),Drama,75
176,Living in Oblivion (1995),Comedy,75
177,Lord of Illusions (1995),Horror,75
178,Love & Human Remains (1993),Comedy,73
179,Mad Love (1995),Drama|Romance,75
180,Mallrats (1995),Comedy,75
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,75
182,Moonlight and Valentino (1995),Drama|Romance,75
183,Mute Witness (1994),Thriller,74
184,Nadja (1994),Drama,74
185,"Net, The (1995)",Sci-Fi|Thriller,75
186,Nine Months (1995),Comedy,75
187,Party Girl (1995),Comedy,75
188,"Prophecy, The (1995)",Horror,75
189,Reckless (1995),Comedy,75
190,Safe (1995),Thriller,75
191,"Scarlet Letter, The (1995)",Drama,75
192,"Show, The (1995)",Documentary,75
193,Showgirls (1995),Drama,75
194,Smoke (1995),Drama,75
195,Something to Talk About (1995),Comedy|Drama|Romance,75
196,Species (1995),Horror|Sci-Fi,75
197,"Stars Fell on Henrietta, The (1995)",Drama,75
198,Strange Days (1995),Action|Crime|Sci-Fi,75
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,44
200,"Tie That Binds, The (1995)",Thriller,75
201,Three Wishes (1995),Drama,75
202,Total Eclipse (1995),Drama|Romance,75
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,75
204,Under Siege 2: Dark Territory (1995),Action,75
205,Unstrung Heroes (1995),Comedy|Drama,75
206,Unzipped (1995),Documentary,75
207,"Walk in the Clouds, A (1995)",Drama|Romance,75
208,Waterworld (1995),Action|Adventure,75
209,White Man's Burden (1995),Drama,75
210,Wild Bill (1995),Western,75
211,"Browning Version, The (1994)",Drama,74
212,Bushwhacked (1995),Comedy,75
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,74
214,Before the Rain (Pred dozhdot) (1994),Drama,74
215,Before Sunrise (1995),Drama|Romance,75
216,Billy Madison (1995),Comedy,75
217,"Babysitter, The (1995)",Drama|Thriller,75
218,Boys on the Side (1995),Comedy|Drama,75
219,"Cure, The (1995)",Drama,75
220,Castle Freak (1995),Horror,75
222,Circle of Friends (1995),Drama|Romance,75
223,Clerks (1994),Comedy,74
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,75
225,Disclosure (1994),Drama|Thriller,74
226,Dream Man (1995),Thriller,75
227,Drop Zone (1994),Action,74
228,Destiny Turns on the Radio (1995),Comedy,75
229,Death and the Maiden (1994),Drama|Thriller,74
230,Dolores Claiborne (1994),Drama|Thriller,74
231,Dumb & Dumber (1994),Comedy,74
232,Eat Drink Man Woman (1994),Comedy|Drama,74
233,Exotica (1994),Drama,74
234,Exit to Eden (1994),Comedy,74
235,Ed Wood (1994),Comedy|Drama,74
236,French Kiss (1995),Comedy|Romance,75
237,Forget Paris (1995),Comedy|Romance,75
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,75
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,75
240,Hideaway (1995),Thriller,75
241,Fluke (1995),Children's|Drama,75
242,Farinelli: il castrato (1994),Drama|Musical,74
243,Gordy (1995),Comedy,75
244,Gumby: The Movie (1995),Animation|Children's,75
245,"Glass Shield, The (1994)",Crime|Drama,74
246,Hoop Dreams (1994),Documentary,74
